Fp2;F8;FT8;T8;TP8;P8;TP10;O2;Oz;O1;TP9;P7;TP7;T7;FT7;F7;FP1;AFz;F4;FC4;C4;CP4;P4;Pz;P3;CP3;C3;FC3;F3;Fz;FCz;CPz;Cz
5.599;1.060;1.089;7.053;9.007;11.839;6.073;5.841;0.164;-5.294;0.080;-1.621;-1.682;-3.698;0.099;0.912;2.058;0.764;-0.736;-3.067;-1.909;0.544;1.263;-6.306;-8.821;-8.871;-7.227;-3.157;-1.031;-2.862;-5.488;-7.465;-4.638
4.874;0.317;-0.190;6.702;8.873;11.245;5.540;5.943;1.281;-3.474;1.079;-0.455;-1.041;-4.271;0.750;1.203;2.307;0.174;-2.303;-3.840;-0.771;1.833;1.770;-5.336;-7.910;-8.428;-7.286;-3.506;-1.443;-4.070;-6.920;-6.679;-4.836
3.557;-0.570;-1.547;6.111;8.642;10.914;4.985;6.426;2.735;-1.249;2.017;1.031;-0.156;-4.341;1.280;1.392;2.370;-0.607;-3.814;-4.511;0.324;3.150;2.505;-4.036;-6.408;-7.483;-7.111;-4.029;-2.097;-5.417;-8.444;-5.657;-5.011
2.089;-1.353;-2.747;5.365;8.326;10.793;4.392;7.235;4.476;1.295;2.850;2.907;1.112;-3.674;1.779;1.533;2.293;-1.347;-4.899;-4.824;1.505;4.521;3.475;-2.442;-4.281;-5.964;-6.612;-4.574;-2.843;-6.634;-9.744;-4.389;-5.107
0.918;-1.878;-3.660;4.513;7.938;10.719;3.707;8.181;6.363;3.983;3.613;5.124;2.814;-2.232;2.250;1.619;2.097;-1.834;-5.304;-4.610;2.861;5.937;4.598;-0.644;-1.620;-3.924;-5.769;-4.993;-3.541;-7.474;-10.555;-2.926;-5.100
0.346;-2.114;-4.283;3.549;7.431;10.449;2.911;8.977;8.166;6.558;4.341;7.484;4.860;-0.194;2.566;1.583;1.786;-1.944;-4.959;-3.839;4.376;7.301;5.692;1.180;1.340;-1.574;-4.666;-5.194;-4.103;-7.794;-10.740;-1.411;-4.999
0.450;-2.103;-4.645;2.395;6.688;9.704;2.059;9.293;9.590;8.728;5.001;9.712;7.048;2.141;2.580;1.354;1.381;-1.666;-3.963;-2.599;5.926;8.434;6.509;2.781;4.244;0.766;-3.451;-5.159;-4.481;-7.580;-10.291;-0.045;-4.828
1.028;-1.940;-4.697;0.936;5.568;8.223;1.261;8.840;10.340;10.219;5.505;11.532;9.110;4.425;2.252;0.881;0.897;-1.126;-2.566;-1.091;7.289;9.100;6.773;3.883;6.679;2.735;-2.301;-4.933;-4.660;-6.958;-9.335;0.954;-4.622
1.671;-1.761;-4.297;-0.848;3.989;5.872;0.601;7.476;10.229;10.859;5.788;12.747;10.775;6.338;1.719;0.166;0.332;-0.536;-1.096;0.420;8.208;9.089;6.264;4.270;8.280;4.031;-1.381;-4.611;-4.663;-6.148;-8.084;1.414;-4.424
2.018;-1.653;-3.442;-2.695;2.006;2.743;0.080;5.304;9.284;10.648;5.827;13.292;11.857;7.674;1.270;-0.667;-0.255;-0.047;0.205;1.739;8.541;8.349;4.960;3.907;8.866;4.511;-0.793;-4.268;-4.509;-5.338;-6.727;1.287;-4.236
1.972;-1.581;-2.450;-4.067;-0.197;-0.874;-0.365;2.614;7.702;9.714;5.624;13.209;12.283;8.363;1.182;-1.368;-0.688;0.352;1.276;2.839;8.357;7.025;3.063;2.955;8.484;4.219;-0.561;-3.922;-4.180;-4.579;-5.355;0.683;-3.995
1.703;-1.459;-1.701;-4.525;-2.387;-4.660;-0.829;-0.302;5.697;8.187;5.279;12.547;12.033;8.416;1.550;-1.698;-0.755;0.749;2.169;3.799;7.882;5.373;0.875;1.647;7.299;3.302;-0.677;-3.586;-3.651;-3.833;-4.000;-0.227;-3.651
1.447;-1.280;-1.309;-4.117;-4.368;-8.370;-1.387;-3.240;3.422;6.171;4.979;11.300;11.084;7.864;2.252;-1.583;-0.366;1.160;2.918;4.673;7.350;3.646;-1.325;0.165;5.493;1.909;-1.144;-3.326;-2.972;-3.108;-2.714;-1.300;-3.238
1.294;-1.143;-1.191;-3.280;-5.991;-11.793;-2.004;-6.015;1.054;3.839;4.825;9.480;9.469;6.784;3.046;-1.135;0.359;1.497;3.484;5.445;6.923;2.070;-3.309;-1.332;3.282;0.192;-1.937;-3.215;-2.271;-2.468;-1.569;-2.420;-2.833
1.125;-1.174;-1.252;-2.431;-7.121;-14.697;-2.548;-8.392;-1.148;1.483;4.691;7.233;7.373;5.334;3.699;-0.562;1.124;1.644;3.790;6.073;6.701;0.862;-4.869;-2.638;0.970;-1.637;-2.934;-3.249;-1.665;-1.952;-0.597;-3.424;-2.448
0.703;-1.435;-1.448;-1.761;-7.672;-16.870;-2.897;-10.169;-2.934;-0.596;4.341;4.810;5.085;3.719;3.976;-0.101;1.555;1.509;3.768;6.487;6.727;0.185;-5.848;-3.551;-1.123;-3.339;-3.964;-3.355;-1.236;-1.562;0.211;-4.134;-2.016
-0.186;-1.915;-1.754;-1.333;-7.686;-18.214;-3.004;-11.282;-4.202;-2.247;3.614;2.440;2.856;2.108;3.623;0.026;1.354;1.031;3.362;6.587;6.945;0.050;-6.225;-4.006;-2.800;-4.752;-4.897;-3.487;-1.047;-1.331;0.847;-4.439;-1.466
-1.588;-2.522;-2.109;-1.193;-7.333;-18.777;-2.898;-11.822;-5.036;-3.519;2.486;0.255;0.837;0.626;2.476;-0.274;0.472;0.232;2.567;6.302;7.206;0.321;-6.123;-4.079;-4.027;-5.814;-5.648;-3.622;-1.092;-1.309;1.297;-4.314;-0.744
